Unnamed: 0,img,doctor,M1,M2,M3,M4,M5,experience,spearman,spearman_p,is_constant_rating,top_models
133,193_2HC.png,Doc_E,1,2,5,5,3,non-expert,0.6668859288553503,0.21889398131323154,False,"['M3', 'M4']"
134,001_HC.png,Doc_E,2,1,1,3,5,non-expert,0.6668859288553503,0.21889398131323154,False,['M5']
135,208_HC.png,Doc_E,1,3,4,5,5,non-expert,0.9746794344808963,0.004818230468198566,False,"['M4', 'M5']"
136,178_HC.png,Doc_E,1,4,5,5,5,non-expert,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
137,032_HC.png,Doc_E,1,3,4,5,5,non-expert,0.9746794344808963,0.004818230468198566,False,"['M4', 'M5']"
138,026_2HC.png,Doc_E,2,3,1,5,4,non-expert,0.6,0.28475697986529375,False,['M4']
139,160_HC.png,Doc_E,1,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
140,350_HC.png,Doc_E,4,5,5,5,4,non-expert,0.0,1.0,False,"['M2', 'M3', 'M4']"
141,712_2HC.png,Doc_E,2,4,5,4,5,non-expert,0.7378647873726218,0.15461852312844906,False,"['M3', 'M5']"
142,058_HC.png,Doc_E,1,5,5,5,2,non-expert,0.22360679774997896,0.7176856442107861,False,"['M2', 'M3', 'M4']"
143,072_HC.png,Doc_E,1,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
144,719_HC.png,Doc_E,3,4,5,5,4,non-expert,0.5270462766947298,0.3614548502018728,False,"['M3', 'M4']"
145,352_2HC.png,Doc_E,2,4,4,3,3,non-expert,0.10540925533894598,0.8660377229253148,False,"['M2', 'M3']"
146,375_HC.png,Doc_E,4,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
147,057_HC.png,Doc_E,3,5,4,1,1,non-expert,-0.6668859288553503,0.21889398131323154,False,['M2']
148,035_HC.png,Doc_E,1,4,5,2,4,non-expert,0.35909242322980395,0.5528147466433505,False,['M3']
149,357_HC.png,Doc_E,1,4,5,5,5,non-expert,0.8944271909999159,0.040519326353834,False,"['M3', 'M4', 'M5']"
150,708_HC.png,Doc_F,4,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
151,110_HC.png,Doc_F,1,2,3,5,4,non-expert,0.8999999999999998,0.03738607346849874,False,['M4']
152,089_HC.png,Doc_F,1,4,5,4,5,non-expert,0.7378647873726218,0.15461852312844906,False,"['M3', 'M5']"
153,592_HC.png,Doc_F,4,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
154,380_HC.png,Doc_F,3,3,3,5,4,non-expert,0.7826237921249264,0.11761376087345808,False,['M4']
155,771_HC.png,Doc_F,4,5,5,5,5,non-expert,0.7071067811865475,0.18169011381620928,False,"['M2', 'M3', 'M4', 'M5']"
156,519_HC.png,Doc_F,3,5,4,5,5,non-expert,0.6708203932499368,0.21516994256955005,False,"['M2', 'M4', 'M5']"
157,561_2HC.png,Doc_F,4,4,5,5,5,non-expert,0.8660254037844386,0.05766888562243733,False,"['M3', 'M4', 'M5']"
158,439_HC.png,Doc_F,5,4,4,5,5,non-expert,0.28867513459481287,0.6376180914006018,False,"['M1', 'M4', 'M5']"
159,493_HC.png,Doc_F,3,5,5,5,4,non-expert,0.22360679774997896,0.7176856442107861,False,"['M2', 'M3', 'M4']"
